	premise	hypothesis	type-of-inference	metadata	label
7677	Mariann tweeted: 'When your  is so advanced people actually think you are #stupid.. http://t.co/LSGmXqneqq http://t.co/fOqATXhy5U'	Mariann was ironic	irony	{'corpus-sent-id': 1708, 'split': 'train'}	entailment
7678	Oliver tweeted: 'What doesn't kill you makes you #stronger :ok_hand_sign:...I'm  #perfect #mybody :see-no-evil_monkey: http://t.co/lBIZvOjuE5'	Oliver was ironic	irony	{'corpus-sent-id': 1709, 'split': 'train'}	entailment
7679	Damian tweeted: '@ItsAnaBln yeah me! |I should get a more active social life and get away from the internet...'	Damian was ironic	irony	{'corpus-sent-id': 1710, 'split': 'train'}	entailment
7680	Joselin tweeted: 'OH you're just gonna wait till new years to start working out? #thatscool '	Joselin was ironic	irony	{'corpus-sent-id': 1711, 'split': 'train'}	entailment
7681	Jackson tweeted: '@MikeLoBurgio @BarackObama protecting the namesake of a #PalinSpawn   '	Jackson was ironic	irony	{'corpus-sent-id': 1712, 'split': 'train'}	entailment
7682	Shaila tweeted: 'Another day just livin the dream  #needmoremoney'	Shaila was ironic	irony	{'corpus-sent-id': 1713, 'split': 'train'}	entailment
7683	Blake tweeted: '@lauraaball_ Prepare to get mucked  #imissedu'	Blake was ironic	irony	{'corpus-sent-id': 1714, 'split': 'train'}	entailment
7684	Mikaela tweeted: '@deWaardSara You can afford stocks? Teachers make SO MUCH money it's crazy! '	Mikaela was ironic	irony	{'corpus-sent-id': 1715, 'split': 'train'}	entailment
7685	Maximus tweeted: 'Two hour drive this morning with the instructor.  Oh yes..  #scaredshitless #yikes'	Maximus was ironic	irony	{'corpus-sent-id': 1716, 'split': 'train'}	entailment
7686	Kimani tweeted: 'If I believed in that sort of thing I should be canonized #selfpraise'	Kimani was ironic	irony	{'corpus-sent-id': 1717, 'split': 'train'}	entailment
7687	Talal tweeted: 'WAIT the GA I have a crush on and emailed me and told me it was great to have me in class :smiling_face_with_heart-shaped_eyes::heavy_black_heart::face_throwing_a_kiss: he totally loves me '	Talal was ironic	irony	{'corpus-sent-id': 1718, 'split': 'train'}	entailment
7688	Angela tweeted: 'Woke up to find out my vehicle insurance went up $22 a month!! Merry Christmas to me...  :unamused_face:'	Angela was ironic	irony	{'corpus-sent-id': 1719, 'split': 'train'}	entailment
7689	Taylor tweeted: '@laurenfleskes hahaha such a 1% town'	Taylor was ironic	irony	{'corpus-sent-id': 1720, 'split': 'train'}	entailment
7690	Eva tweeted: 'I shouldn't lose a full day of work because of system updates, but it happened yesterday. #fuckingwindows'	Eva was ironic	irony	{'corpus-sent-id': 1721, 'split': 'train'}	entailment
7691	Temur tweeted: 'People these days are so loving, accepting, and nonjudgmental. It's great. '	Temur was ironic	irony	{'corpus-sent-id': 1722, 'split': 'train'}	entailment
7692	Brystol tweeted: 'Simple way to be #fashionable n contribute to #empower thousands of #women and #weavers. http://t.co/2kCyadmqWI #KhadiGaatha #GoGreen'	Brystol was ironic	irony	{'corpus-sent-id': 1723, 'split': 'train'}	entailment
7693	Farah tweeted: '@mattnewton doesn't get more #indiefilm than #miboxzombie https://t.co/uu7zObVxdG :-)'	Farah was ironic	irony	{'corpus-sent-id': 1724, 'split': 'train'}	entailment
7694	Jordin tweeted: 'I love it when work tells me they don't need me to come in :information_desk_person::face_with_tears_of_joy::loudly_crying_face::loudly_crying_face::loudly_crying_face: '	Jordin was ironic	irony	{'corpus-sent-id': 1725, 'split': 'train'}	entailment
7695	Grayson tweeted: 'look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. :two_hearts::musical_note:'	Grayson was ironic	irony	{'corpus-sent-id': 1726, 'split': 'train'}	entailment
7696	Robert tweeted: 'I feel a nap in my near future. #NapTime'	Robert was ironic	irony	{'corpus-sent-id': 1727, 'split': 'train'}	entailment
7697	Leena tweeted: ': When the vapours that are emitted by cleansing solvents are emitted by contaminating chemicals. #Cleansing=#Contaminating #Vapour'	Leena was ironic	irony	{'corpus-sent-id': 1728, 'split': 'train'}	entailment
7698	Nathan tweeted: 'Time for babygirl and I to get our beauty sleep:sleeping_face::sleeping_symbol::sleeping_symbol:'	Nathan was ironic	irony	{'corpus-sent-id': 1729, 'split': 'train'}	entailment
7699	Gabriel tweeted: 'The ugly truth... #abuse  #enough #words http://t.co/F7ngPbF2yz'	Gabriel was ironic	irony	{'corpus-sent-id': 1730, 'split': 'train'}	entailment
7700	Kaleb tweeted: '@unsarcasticone Oh crap. Mean. What did it mean. See my last few RTs. '	Kaleb was ironic	irony	{'corpus-sent-id': 1731, 'split': 'train'}	entailment
7701	Ameer tweeted: '@EdMartin_Music excited for 2015 its gonna be a good year for music ur gonna smash it #Ed:microphone:'	Ameer was ironic	irony	{'corpus-sent-id': 1732, 'split': 'train'}	entailment
7702	Thomas tweeted: ' is the name of the game. http://t.co/cUWvhv0VXL'	Thomas was ironic	irony	{'corpus-sent-id': 1733, 'split': 'train'}	entailment
7703	Aleksandra tweeted: '@SportsCenter #SC3stars CARDALE JONES. Third string QB, Big10 Champion and MVP.'	Aleksandra was ironic	irony	{'corpus-sent-id': 1734, 'split': 'train'}	entailment
7704	Mary tweeted: '#HybridCloud needs hybrid monitoring... monitor Azure, plus apps and dbs, from SCOM https://t.co/uJRpzYnY8y'	Mary was ironic	irony	{'corpus-sent-id': 1735, 'split': 'train'}	entailment
7705	Aiden tweeted: '@KCChiefs did you think that only making 100 was going to be enough? '	Aiden was ironic	irony	{'corpus-sent-id': 1736, 'split': 'train'}	entailment
7706	Kevontae tweeted: '2 days off the next two weeks. 3 in the new yr. Love working over xmas.  #needthemoney'	Kevontae was ironic	irony	{'corpus-sent-id': 1737, 'split': 'train'}	entailment
7707	Talia tweeted: 'what a good time to start voting again  #BestNewArtist Fifth Harmony'	Talia was ironic	irony	{'corpus-sent-id': 1738, 'split': 'train'}	entailment
7708	Jordan tweeted: 'Comcast, greatest customer service on the planet  #comcastistheworst http://t.co/0fRUac4tBv'	Jordan was ironic	irony	{'corpus-sent-id': 1739, 'split': 'train'}	entailment
7709	"Elaine tweeted: 'By @erickaajanae ""#Bts At DIPMAGAZINE #PhotoShoot #WIFEYSERIES Me and _traviiiiis . Don't Forget To... http://t.co/v3cb77KCig'"	Elaine was ironic	irony	{'corpus-sent-id': 1740, 'split': 'train'}	entailment
7710	Spencer tweeted: 'In #Business, knowing 'what  to do' is very imp. #SayNo to anything that comes b/w u n ur #dreams. Even #money . #entrepreneur #tips'	Spencer was ironic	irony	{'corpus-sent-id': 1741, 'split': 'train'}	entailment
7711	Eva tweeted: 'Dear () #Spain's gov and Catalan Police, congrats you managed to accomplish the impossible: Go even lower than #Greece #OperaciónPandora'	Eva was ironic	irony	{'corpus-sent-id': 1742, 'split': 'train'}	entailment
7712	Davis tweeted: '@JordanHavlin11 @Ziggi_M missing the bants at work today  #ha #ha #ha #shitbants'	Davis was ironic	irony	{'corpus-sent-id': 1743, 'split': 'train'}	entailment
7713	"James tweeted: ' is not lost. @RehamKhan1 @ShireenMazari1  @ArifAlvi http://t.co/NVseI8XEN4""'"	James was ironic	irony	{'corpus-sent-id': 1744, 'split': 'train'}	entailment
7714	Kaleb tweeted: 'Getting ready to ship surplus ink cartridges out to Nunavut communities- yup that's a great use of time/resources! #sofulfilled '	Kaleb was ironic	irony	{'corpus-sent-id': 1745, 'split': 'train'}	entailment
7715	Scarlett tweeted: '#But #Buy #Couch #Enveloppe #If #Its  #HomeDecor|Please RT: http://t.co/pnQT7ajj5m http://t.co/StTpKf4qAS'	Scarlett was ironic	irony	{'corpus-sent-id': 1746, 'split': 'train'}	entailment
7716	Juan tweeted: 'Selfish, narcissistic. Only the woman matters. Child doesn't matter. Father doesn't matter. No one else matters.|http://t.co/1olMSFOTd7'	Juan was ironic	irony	{'corpus-sent-id': 1747, 'split': 'train'}	entailment
7717	Ambrea tweeted: 'So kind of occ health to book my tb skin test on my day off uni. I am thrilled '	Ambrea was ironic	irony	{'corpus-sent-id': 1748, 'split': 'train'}	entailment
7718	Jaeger tweeted: 'Wickedly ignorant bout Black Americans see racism in everything' a figment of their imagination#Cannot be trumped by J'can hypocrisy#NNN'	Jaeger was ironic	irony	{'corpus-sent-id': 1749, 'split': 'train'}	entailment
7719	Jadarius tweeted: '#bibotour & #champwithin founder @traciscampbell on @WCIU_YouAndMe w/dancers Ricky & Gracey #chicago #women'	Jadarius was ironic	irony	{'corpus-sent-id': 1750, 'split': 'train'}	entailment
7720	Andrew tweeted: 'You're any moment, every second,|Every scent and every flower|As a girl.'	Andrew was ironic	irony	{'corpus-sent-id': 1751, 'split': 'train'}	entailment
7721	Akiva tweeted: 'find ONE local PD that reported an 80% drop @RBRNetwork1 @TheOldBreed1775 @Dolphin__Man @Joseph_WarrenDR @jus1314tin @CoutoPanda'	Akiva was ironic	irony	{'corpus-sent-id': 1752, 'split': 'train'}	entailment
7722	Robert tweeted: 'This should be fun next spring.  http://t.co/nb63wOUmKE'	Robert was ironic	irony	{'corpus-sent-id': 1753, 'split': 'train'}	entailment
7723	Shaun tweeted: 'Chillax Bitches. :face_with_stuck-out_tongue_and_tightly-closed_eyes: why is my face so squished. #fireball http://t.co/2J6NiWuIPJ'	Shaun was ironic	irony	{'corpus-sent-id': 1754, 'split': 'train'}	entailment
7724	"Channing tweeted: '@cnsnews @AnnCoulter Obamanomics: FS & Unemployment Insurance is ""economic stimulus"". FT to PT work frees us to follow our dreams.'"	Channing was ironic	irony	{'corpus-sent-id': 1755, 'split': 'train'}	entailment
7725	Oliver tweeted: '@greateranglia really well done. Another short formation, so I get to stand for the 3rd day in a row from Kel to LLS 7:18. Thanks '	Oliver was ironic	irony	{'corpus-sent-id': 1756, 'split': 'train'}	entailment
7726	Declan tweeted: 'More  in winning a sweet hamper at a Christmas fete the day after a jellybean damaged a tooth!'	Declan was ironic	irony	{'corpus-sent-id': 1757, 'split': 'train'}	entailment
7727	Abby tweeted: 'Getting my shit together in 2015 like........ #2015isthenewturnup #myboos #funtimes #makingmemories... http://t.co/elqmUTDtwS'	Abby was ironic	irony	{'corpus-sent-id': 1758, 'split': 'train'}	entailment
7728	Jude tweeted: 'Ahhh Finals week.... I'll throw a kegger at my house for all the survivors :skull::skull::skull: #Motivating  #RIP'	Jude was ironic	irony	{'corpus-sent-id': 1759, 'split': 'train'}	entailment
7729	Hudson tweeted: 'Such a fun day in the lib studying Econ for 14 hours.. can't wait to do it again tomorrow  #ThisIsMiserable'	Hudson was ironic	irony	{'corpus-sent-id': 1760, 'split': 'train'}	entailment
7730	Kiyan tweeted: '@Sherrod_Small As the only black listener to the @OpieandJimmy show...Love having you on it!!#RaceWars'	Kiyan was ironic	irony	{'corpus-sent-id': 1761, 'split': 'train'}	entailment
7731	Cristopher tweeted: 'Dear Dr. Diaz, gravity does not exist, Einstein got it wrong. I wrote a book explaining my theory, let me know if you want to read it '	Cristopher was ironic	irony	{'corpus-sent-id': 1762, 'split': 'train'}	entailment
7732	Brady tweeted: '@JHill_Official @brianfriedman @OK_Magazine outta the boardroom, I to the partay!! #luvvit'	Brady was ironic	irony	{'corpus-sent-id': 1763, 'split': 'train'}	entailment
7733	Kyleigh tweeted: 'Lots if love for #Miranda '	Kyleigh was ironic	irony	{'corpus-sent-id': 1764, 'split': 'train'}	entailment
7734	Gloria tweeted: 'I just earned the 'Photogenic Brew (Level 21)' badge on @untappd! http://t.co/3slfluggKx'	Gloria was ironic	irony	{'corpus-sent-id': 1765, 'split': 'train'}	entailment
7735	Jayda tweeted: 'pt3..for his family to follow, and they can talk at home. All this talk about new owners and destabilising pf the club could #mot #lufc'	Jayda was ironic	irony	{'corpus-sent-id': 1766, 'split': 'train'}	entailment
7736	Ryan tweeted: 'Workaholics: if you're sick, don't let that stop you from bringing your germs into the office. We all appreciate your commitment. '	Ryan was ironic	irony	{'corpus-sent-id': 1767, 'split': 'train'}	entailment
7737	Jake tweeted: 'James Burke Connections, Episode 7 A Special Place: http://t.co/tp7MwdvwCW via @YouTube #This is  /-\ #DRILL <()>'	Jake was ironic	irony	{'corpus-sent-id': 1768, 'split': 'train'}	entailment
7738	Carter tweeted: '@SR_Duncan @JojoKaliski I love how JoJo has kept it classy....'	Carter was ironic	irony	{'corpus-sent-id': 1769, 'split': 'train'}	entailment
7739	Kerry tweeted: 'Quel domage  RT @CFL_News: No Canada: Bills in TO series, which was a colossal flop, has been cancelled http://t.co/LBIF1WE2pW #CFL #NFL'	Kerry was ironic	irony	{'corpus-sent-id': 1770, 'split': 'train'}	entailment
7740	Ryder tweeted: '@ZafShabir and a strut to boot'	Ryder was ironic	irony	{'corpus-sent-id': 1771, 'split': 'train'}	entailment
7741	Abbie tweeted: '@BillPowers9  but if we all hold hands and sing Kumbaya they won't hate us! '	Abbie was ironic	irony	{'corpus-sent-id': 1772, 'split': 'train'}	entailment
7742	"Nicholas tweeted: 'There's no such thing as ""too much ammo""'"	Nicholas was ironic	irony	{'corpus-sent-id': 1773, 'split': 'train'}	entailment
7743	Zahra tweeted: 'Those Amarillo hops make it just right #goldilocks - Drinking a Tour de Fall @ Memphis' Pint & Dram - http://t.co/ZEVvcvjrR5 #photo'	Zahra was ironic	irony	{'corpus-sent-id': 1774, 'split': 'train'}	entailment
7744	Samuel tweeted: '@Official_NFFC #spinless#gutless  acceptable'	Samuel was ironic	irony	{'corpus-sent-id': 1775, 'split': 'train'}	entailment
7745	Logan tweeted: 'Good to see Tomas Rosicky playing tdae #ARSvQPR'	Logan was ironic	irony	{'corpus-sent-id': 1776, 'split': 'train'}	entailment
7746	Kadiatou tweeted: 'Really love when the @DASHBus  is over five minutes late on the cold days. Feels like Metro! '	Kadiatou was ironic	irony	{'corpus-sent-id': 1777, 'split': 'train'}	entailment
7747	"Carmyn tweeted: '@aleciamarie21 @DonnieWahlberg is it bad that after my ""happy Preds won"" :party_popper: dance my first thought was Donnie?! :grinning_face_with_smiling_eyes::speak-no-evil_monkey:'"	Carmyn was ironic	irony	{'corpus-sent-id': 1778, 'split': 'train'}	entailment
7748	Susan tweeted: '@BestProAdvice: http://t.co/yRl7MbKNzB  true....you can't replace your one and only mam.'	Susan was ironic	irony	{'corpus-sent-id': 1779, 'split': 'train'}	entailment
7749	Jordan tweeted: 'Photo: Cheers! #vodka #mother #energy #drink #tipsy #on #one #drink #Cadbury  #alcoholic #Friday... http://t.co/9nIao1XChp'	Jordan was ironic	irony	{'corpus-sent-id': 1780, 'split': 'train'}	entailment
7750	Bibiana tweeted: '@EthanSnaps Just what the Bears need... A sense of urgency at QB position, using top pick at QB position '	Bibiana was ironic	irony	{'corpus-sent-id': 1781, 'split': 'train'}	entailment
7751	Matthew tweeted: 'Take me to church...,.'	Matthew was ironic	irony	{'corpus-sent-id': 1782, 'split': 'train'}	entailment
7752	Ryan tweeted: 'Wow thanks for the good vibes right before my exam, parents. '	Ryan was ironic	irony	{'corpus-sent-id': 1783, 'split': 'train'}	entailment
7753	Dylan tweeted: '@the_angry_ranga @UberFacts For the masses. I love it.'	Dylan was ironic	irony	{'corpus-sent-id': 1784, 'split': 'train'}	entailment
7754	Raeya tweeted: '@14_CeRivera I never study lolz. I've been working on a presentation thats due tomorrow and I just now started:smiling_face_with_open_mouth_and_cold_sweat:'	Raeya was ironic	irony	{'corpus-sent-id': 1785, 'split': 'train'}	entailment
7755	Isabelle tweeted: '@TheBodyShopUK I dont know what it is but I'm in love your products Christmas heaven! #love #skincare #beauty :thumbs_up_sign::green_heart::bath:. http://t.co/ROUQLlla1f'	Isabelle was ironic	irony	{'corpus-sent-id': 1786, 'split': 'train'}	entailment
7756	Matthew tweeted: '@LizardPatrol wow u brought down xbox live arnt you amazing  why don't you do something more productive like grow up'	Matthew was ironic	irony	{'corpus-sent-id': 1787, 'split': 'train'}	entailment
7757	Kailey tweeted: 'On a good note, only 49 more days until #Scandal.  :crying_face::crying_face:'	Kailey was ironic	irony	{'corpus-sent-id': 1788, 'split': 'train'}	entailment
7758	Alex tweeted: 'Wow I love having 3 essays due in the next 3 weeks '	Alex was ironic	irony	{'corpus-sent-id': 1789, 'split': 'train'}	entailment
7759	Charles tweeted: '@Sanisanko Sig-ni-fi-cant witter '	Charles was ironic	irony	{'corpus-sent-id': 1790, 'split': 'train'}	entailment
7760	Khadyn tweeted: 'Fuse blown in the media room! Too much hallway vacuuming. Chaos about to break loose. #CanCup '	Khadyn was ironic	irony	{'corpus-sent-id': 1791, 'split': 'train'}	entailment
7761	Alina tweeted: '@GIBiz @MonsieurHutt Porn!? Where where?? Move that naked woman, I can't see where the porn is!| #games'	Alina was ironic	irony	{'corpus-sent-id': 1792, 'split': 'train'}	entailment
7762	Paige tweeted: 'Why does Zayn look like a Spanish flamingo dancer'	Paige was ironic	irony	{'corpus-sent-id': 1793, 'split': 'train'}	entailment
7763	"Carlos tweeted: '.@ShawnaTova Computing, the Internet, personal computers & smart phones were all invented by that ""pond scum""  @addictionguy'"	Carlos was ironic	irony	{'corpus-sent-id': 1794, 'split': 'train'}	entailment
7764	Lucas tweeted: '@MrHepzn @janr572 The kindness of strangers!'	Lucas was ironic	irony	{'corpus-sent-id': 1795, 'split': 'train'}	entailment
7765	Carley tweeted: 'Wow I love school  http://t.co/8Knui6m2nc'	Carley was ironic	irony	{'corpus-sent-id': 1796, 'split': 'train'}	entailment
7766	Elorah tweeted: '@maryeags everyone just wants to be you your just sooooo cool '	Elorah was ironic	irony	{'corpus-sent-id': 1797, 'split': 'train'}	entailment
7767	Andre tweeted: 'FINALLY TAKEN To the gir love  #heartbroken 12~19~14'	Andre was ironic	irony	{'corpus-sent-id': 1798, 'split': 'train'}	entailment
7768	Krystina tweeted: 'watching Elf was a prime decision tonight'	Krystina was ironic	irony	{'corpus-sent-id': 1799, 'split': 'train'}	entailment
7769	Rylin tweeted: 'How Badly Do You Need That Burrito? (That's sounds naughty) http://t.co/U3YojBgmRQ #burrito '	Rylin was ironic	irony	{'corpus-sent-id': 1800, 'split': 'train'}	entailment
7770	Ashlyn tweeted: 'I love waking up late and sick during dead week. #thebest '	Ashlyn was ironic	irony	{'corpus-sent-id': 1801, 'split': 'train'}	entailment
7771	Kaleb tweeted: 'way to prove that women are more than just breasts & an ass...  :unamused_face:'	Kaleb was ironic	irony	{'corpus-sent-id': 1802, 'split': 'train'}	entailment
7772	Omar tweeted: 'waking up congested/not being able to breathe is a great feeling.  :expressionless_face:'	Omar was ironic	irony	{'corpus-sent-id': 1803, 'split': 'train'}	entailment
7773	Iain tweeted: 'my life won't be complete until I meet @Theresacaputo :two_hearts:'	Iain was ironic	irony	{'corpus-sent-id': 1804, 'split': 'train'}	entailment
7774	Cameron tweeted: 'Just got the message I need to start working at another location. Brilliant!  now rushing towards second location. Oh god I hate Mondays'	Cameron was ironic	irony	{'corpus-sent-id': 1805, 'split': 'train'}	entailment
7775	Hunter tweeted: '.Thanks to Kanye, McCartney will finally get that big break he's been waiting for. No more dumpster diving for him.  #caring'	Hunter was ironic	irony	{'corpus-sent-id': 1806, 'split': 'train'}	entailment
7776	"Jackson tweeted: '@jwalmsley10 very clever jack! Changed the word ""big"" to ""no"",go to bed feeling like you've made a difference to society #youareagenius '"	Jackson was ironic	irony	{'corpus-sent-id': 1807, 'split': 'train'}	entailment
7777	Damali tweeted: '*gasp* The girls are at a rehearsal studio today? You don't say... Hmmm wonder what on earth for? :frog_face::hot_beverage:️  #MTVStars Little Mix'	Damali was ironic	irony	{'corpus-sent-id': 1808, 'split': 'train'}	entailment
7778	Spencer tweeted: '@Neilby70 yeah not to bad been asleep most of it my backs been playing up so been on strong painkillers that knock me out :see-no-evil_monkey:'	Spencer was ironic	irony	{'corpus-sent-id': 1809, 'split': 'train'}	entailment
7779	Chevy tweeted: 'There's nothing better than the feeling of being loved :unamused_face: lol nothing :thumbs_up_sign: '	Chevy was ironic	irony	{'corpus-sent-id': 1810, 'split': 'train'}	entailment
7780	Gabriel tweeted: '@LipsbyCarla @IAmSteveHarvey I won't be pledging anytime soon...why are these GROWN women competing..AKA vs DELTA...crabs in a barrel..SAD'	Gabriel was ironic	irony	{'corpus-sent-id': 1811, 'split': 'train'}	entailment
7781	Joseph tweeted: 'A #Meme for your #Monday! #MemeMonday #Obama #Obamacare #AcidReflux  #StandUpShot #JokeoftheDay #Comedy http://t.co/C67x0Iq4CT'	Joseph was ironic	irony	{'corpus-sent-id': 1812, 'split': 'train'}	entailment
7782	John tweeted: 'Digital drumsticks, thanks Grandma and Grandpa  http://t.co/srMIfk2hWN'	John was ironic	irony	{'corpus-sent-id': 1813, 'split': 'train'}	entailment
7783	Liliana tweeted: '#Congratulations to the #Hashemite #Kingdom of #Jordan under the wise leadership of #His #Majesty #King #Abdullah II on the #New #Year 2015!'	Liliana was ironic	irony	{'corpus-sent-id': 1814, 'split': 'train'}	entailment
7784	David tweeted: 'Gotta go back to work tonight'	David was ironic	irony	{'corpus-sent-id': 1815, 'split': 'train'}	entailment
7785	Jovany tweeted: 'Math presentation, ap history test, ap science test, and whatever the hell we're doing in Asgill... Today should be fun! '	Jovany was ironic	irony	{'corpus-sent-id': 1816, 'split': 'train'}	entailment
7786	Yandel tweeted: 'If that's Man U at its best they have much bigger problems than us ;) #saintsfc. Then again we're still 5th #noproblem'	Yandel was ironic	irony	{'corpus-sent-id': 1817, 'split': 'train'}	entailment
7787	Henry tweeted: 'Even Soweto TV didn't bother to show these fvcken awards...useless to the bone..go figure'	Henry was ironic	irony	{'corpus-sent-id': 1818, 'split': 'train'}	entailment
7788	Joseph tweeted: 'Pain is inevitable, suffering is optional|#Anonymous'	Joseph was ironic	irony	{'corpus-sent-id': 1819, 'split': 'train'}	entailment
7789	Robyn tweeted: 'How DARE somebody exercise their freedom to protest and freedom of speech. '	Robyn was ironic	irony	{'corpus-sent-id': 1820, 'split': 'train'}	entailment
7790	Mara tweeted: 'What I learned today??? You can choose to live a fearless life. #iam #fearfree  #fearfull'	Mara was ironic	irony	{'corpus-sent-id': 1821, 'split': 'train'}	entailment
7791	Hudson tweeted: '@Fit_Motivator: I learned that if you want to make it bad enough, no matter how bad it is, you can make it. -Gale Sayers  #Wise'	Hudson was ironic	irony	{'corpus-sent-id': 1822, 'split': 'train'}	entailment
7792	Charlotte tweeted: 'SEC crew doing some quality officiating in the penn state game. . How do you miss that terrible block in the back?'	Charlotte was ironic	irony	{'corpus-sent-id': 1823, 'split': 'train'}	entailment
7793	"Ian tweeted: '#Legend says if you stand in front of a mirror+say ""I can't even"" 3 times, a girl in #yogapants will appear+give you a pumpkin spice latte.'"	Ian was ironic	irony	{'corpus-sent-id': 1824, 'split': 'train'}	entailment
7794	Jonathan tweeted: 'Photo: Invoices have been sent out... http://t.co/wZlnwsRjeL'	Jonathan was ironic	irony	{'corpus-sent-id': 1825, 'split': 'train'}	entailment
7795	Christa tweeted: 'Read at http://t.co/HbeAb2hklW the news '#Media #Struggle #to #Save #Obama,  #the #Country''	Christa was ironic	irony	{'corpus-sent-id': 1826, 'split': 'train'}	entailment
7796	Cailyn tweeted: 'Lol well done swans '	Cailyn was ironic	irony	{'corpus-sent-id': 1827, 'split': 'train'}	entailment
7797	Jaxon tweeted: 'Just found the picture of lisazamorano trying to kill me #bff at our #seniorbrunch @ Moutain Meadows http://t.co/Z7DSE9tt3h'	Jaxon was ironic	irony	{'corpus-sent-id': 1828, 'split': 'train'}	entailment
7798	Lenox tweeted: '@reubenzj Unfortunately not, hey. Daddy didn't think his daughter'd be into gaming or FIFA.  youraveragedaddysgirl'	Lenox was ironic	irony	{'corpus-sent-id': 1829, 'split': 'train'}	entailment
7799	Rowan tweeted: 'My dream is to celebrate Christmas with you :smiling_face_with_heart-shaped_eyes:'	Rowan was ironic	irony	{'corpus-sent-id': 1830, 'split': 'train'}	entailment
7800	Madalynn tweeted: '@eskimodave yup.. Few weeks in NZ mucking about then some time in Fiji dodging sharks.'	Madalynn was ironic	irony	{'corpus-sent-id': 1831, 'split': 'train'}	entailment
7801	Mario tweeted: 'My dogs like to be nice and toasty while relaxing at home #adorable #puppy #socute #icant http://t.co/jCW9WYwC30'	Mario was ironic	irony	{'corpus-sent-id': 1832, 'split': 'train'}	entailment
7802	Omar tweeted: 'Hashtags are great idk why everyone stopped using them #jk  #bye'	Omar was ironic	irony	{'corpus-sent-id': 1833, 'split': 'train'}	entailment
7803	Kenzley tweeted: '@bonka10 @PopsMcDaddy come on Graham / Thomas!'	Kenzley was ironic	irony	{'corpus-sent-id': 1834, 'split': 'train'}	entailment
7804	Sookie tweeted: 'Today stats: 5 followers, 8 unfollowers and followed 2 people via http://t.co/Xk07IiC3Mv'	Sookie was ironic	irony	{'corpus-sent-id': 1835, 'split': 'train'}	entailment
7805	Tucker tweeted: 'I had the best New Years!!!! Spent it with the people I love & I fucking loved it! :smiling_face_with_heart-shaped_eyes: Such a happy camper right now! :face_with_stuck-out_tongue_and_tightly-closed_eyes::green_heart::heavy_black_heart:️'	Tucker was ironic	irony	{'corpus-sent-id': 1836, 'split': 'train'}	entailment
7806	Alena tweeted: '@m1897 haha I also had 2... cheers bro !!!'	Alena was ironic	irony	{'corpus-sent-id': 1837, 'split': 'train'}	entailment
7807	Adam tweeted: '@TeamWadiCamacho @wadicamacho Even better let's see if Wadi Camacho man's up and fights @JamieOneball '	Adam was ironic	irony	{'corpus-sent-id': 1838, 'split': 'train'}	entailment
7808	Miles tweeted: 'Lol at people saying they're turning 13 this year when did I start following kids #sorry'	Miles was ironic	irony	{'corpus-sent-id': 1839, 'split': 'train'}	entailment
7809	Bentlee tweeted: 'On my TL I see a Somerholic that unfollowed me tweeting retweet if you're a Somerholic to see how many are there.also i'm not allowed '	Bentlee was ironic	irony	{'corpus-sent-id': 1840, 'split': 'train'}	entailment
7810	Braelyn tweeted: '@jopage_ I've had three boys, breastfed them all for about a year each and never had to do it out when I was out!  necessary'	Braelyn was ironic	irony	{'corpus-sent-id': 1841, 'split': 'train'}	entailment
7811	Jayden tweeted: 'I would LOVE to touch an anaconda! Jump on that thang and ride it like a horse! #EatenAlive'	Jayden was ironic	irony	{'corpus-sent-id': 1842, 'split': 'train'}	entailment
7812	Samantha tweeted: 'Photo: #whynot? #why #pop#art #artist @whirleytimes #whirleyshot #whirleystudio #sharpie #acrylics... http://t.co/5CEDFL7SHL'	Samantha was ironic	irony	{'corpus-sent-id': 1843, 'split': 'train'}	entailment
7813	Krish tweeted: 'A MAN MUST HAVE (3) F's TO GET a A IN LIFE: FORTITUDE, FOCUS, & FINANCES. http://t.co/3IY91CxWP0 @AlimHagan'	Krish was ironic	irony	{'corpus-sent-id': 1844, 'split': 'train'}	entailment
7814	Nicholas tweeted: 'Aaand the hits just keep on coming. #BadDay '	Nicholas was ironic	irony	{'corpus-sent-id': 1845, 'split': 'train'}	entailment
7815	Zoya tweeted: '.@JaniceDean, Michael Bloomberg will be wearing his speedo for the #GlobalWarming with his bodyguards.  @FoxNews '	Zoya was ironic	irony	{'corpus-sent-id': 1846, 'split': 'train'}	entailment
7816	Jonathan tweeted: '#Kaley Cuoco-Sweeting #apologises #for #saying she's  #a #feminist: Kaley Cuoco-Sweeting, pictured with her... http://t.co/6ZAn7uxtKp'	Jonathan was ironic	irony	{'corpus-sent-id': 1847, 'split': 'train'}	entailment
7817	Azra tweeted: ' Obama's $1,176,120.90 in Taxpayer Funded Costs to Attend Political Fundraisers in Los Angeles, San Francisco http://t.co/2PmAt1l7rO'	Azra was ironic	irony	{'corpus-sent-id': 1848, 'split': 'train'}	entailment
7818	Chase tweeted: '11:11 - say something stupid. ||Oh... You beat me to it.'	Chase was ironic	irony	{'corpus-sent-id': 1849, 'split': 'train'}	entailment
